results.Hugo_Symbol	results.sarek	results.tcga	results.pval	results.or	results.ci.up	results.ci.low	results.adjPval	SampleSummary.Cohort	SampleSummary.SampleSize
111	VGLL3	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	sarek	48
112	ATXN7L1	1	18	1.290847693245e-05	0.0364908353060917	0.254380531766687	0.000839043036011714	0.000232126120276513	tcga	48
113	SCAF4	1	18	1.290847693245e-05	0.0364908353060917	0.254380531766687	0.000839043036011714	0.000232126120276513	sarek	48
114	TICAM1	1	18	1.290847693245e-05	0.0364908353060917	0.254380531766687	0.000839043036011714	0.000232126120276513	tcga	48
115	LRP1	3	22	1.35730063501138e-05	0.0809225038369299	0.307002829081175	0.0141581997542234	0.00024195359145855	sarek	48
116	AC099489.1	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	tcga	48
117	FKBP11	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	sarek	48
118	FOXD4L1	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	tcga	48
119	FRG1GP	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	sarek	48
120	IFI30	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	tcga	48
121	KRTAP4-9	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	sarek	48
122	LILRA4	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	tcga	48
123	LRRC37A3	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	sarek	48
124	MN1	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	tcga	48
125	NDUFV2	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	sarek	48
126	PRAMEF19	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	tcga	48
127	SPRED3	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	sarek	48
128	TNS1	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	tcga	48
129	TPSD1	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	sarek	48
130	TRBV5-5	0	15	1.67145692166123e-05	0	0.212409045157442	0	0.000263575899185041	tcga	48
131	PRSS1	4	23	2.48691075333069e-05	0.101338830105033	0.342440295883807	0.0228375801750253	0.000389173056818925	sarek	48
132	CHERP	1	17	3.08588718120108e-05	0.0398828624449585	0.279471956709976	0.000914692706014353	0.000461756840982643	tcga	48
133	CNKSR2	1	17	3.08588718120108e-05	0.0398828624449585	0.279471956709976	0.000914692706014353	0.000461756840982643	sarek	48
134	GOLGA6L6	1	17	3.08588718120108e-05	0.0398828624449585	0.279471956709976	0.000914692706014353	0.000461756840982643	tcga	48
135	HLA-A	1	17	3.08588718120108e-05	0.0398828624449585	0.279471956709976	0.000914692706014353	0.000461756840982643	sarek	48
136	MLLT3	1	17	3.08588718120108e-05	0.0398828624449585	0.279471956709976	0.000914692706014353	0.000461756840982643	tcga	48
137	ZNF185	1	17	3.08588718120108e-05	0.0398828624449585	0.279471956709976	0.000914692706014353	0.000461756840982643	sarek	48
138	DNHD1	2	19	3.53917998119002e-05	0.0681081055183594	0.315484233359732	0.00716435735629791	0.000518237068674253	tcga	48
139	MIDEAS	2	19	3.53917998119002e-05	0.0681081055183594	0.315484233359732	0.00716435735629791	0.000518237068674253	sarek	48
140	SUPT6H	2	19	3.53917998119002e-05	0.0681081055183594	0.315484233359732	0.00716435735629791	0.000518237068674253	tcga	48
141	C16orf71	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	sarek	48
142	CLEC17A	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	tcga	48
143	MAGEE1	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	sarek	48
144	MAML2	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	tcga	48
145	MAML3	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	sarek	48
146	MTMR10	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	tcga	48
147	OR2T33	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	sarek	48
148	POTEF	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	tcga	48
149	PRAMEF5	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	sarek	48
150	SAAL1	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	tcga	48
151	TRBV5-6	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	sarek	48
152	WASHC1	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	tcga	48
153	ZC3H13	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	sarek	48
154	ZNF831	0	14	4.03116081106531e-05	0	0.235942522343894	0	0.000536615562511941	tcga	48
155	PARP4	4	22	5.75022887291979e-05	0.11004714962092	0.37267405278346	0.0248072311759417	0.000760514141257133	sarek	48
156	CACNA1I	1	16	7.21821766909995e-05	0.0436979339675528	0.308088479915666	0.000999257138228801	0.000930650705764459	tcga	48
157	CXXC1	1	16	7.21821766909995e-05	0.0436979339675528	0.308088479915666	0.000999257138228801	0.000930650705764459	sarek	48
158	FIP1L1	1	16	7.21821766909995e-05	0.0436979339675528	0.308088479915666	0.000999257138228801	0.000930650705764459	tcga	48
159	PRX	1	16	7.21821766909995e-05	0.0436979339675528	0.308088479915666	0.000999257138228801	0.000930650705764459	sarek	48
160	CACNA1C	3	20	7.36422324773649e-05	0.0956319008592354	0.364991965951545	0.0166792262046833	0.000937680599867068	tcga	48
161	FHOD3	3	20	7.36422324773649e-05	0.0956319008592354	0.364991965951545	0.0166792262046833	0.000937680599867068	sarek	48
162	FAM193A	2	18	8.15629092964843e-05	0.0742891049224067	0.345762401410848	0.00780305725409862	0.00102579119053861	tcga	48
163	FRMPD3	2	18	8.15629092964843e-05	0.0742891049224067	0.345762401410848	0.00780305725409862	0.00102579119053861	sarek	48
164	AGAP9	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
165	ARID3A	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
166	CBL	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
167	CHD3	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
168	CLEC18B	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
169	EIF4EBP1	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
170	FAM98C	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
171	GRIP2	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
172	HELZ2	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
173	HVCN1	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
174	KRT76	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
175	MUC20	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
176	OTUD4	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
177	POTEI	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
178	PRAMEF10	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
179	PRAMEF18	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
180	RBMX	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
181	SRP14	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
182	SRRT	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	tcga	48
183	TRBV7-4	0	13	9.55960992338345e-05	0	0.263613377213922	0	0.00107088526464132	sarek	48
184	MACF1	9	28	0.00012710427696243	0.168306375123709	0.451014721123114	0.0579142548632466	0.00141610743354881	tcga	48
185	EP400	3	19	0.000164670906368736	0.104143100680961	0.399189154309089	0.0181425256486267	0.00176479927868686	sarek	48
186	ABL1	1	15	0.000165288517808721	0.0480204835907265	0.341045923810401	0.00109440836594569	0.00176479927868686	tcga	48
187	DNAH12	1	15	0.000165288517808721	0.0480204835907265	0.341045923810401	0.00109440836594569	0.00176479927868686	sarek	48
188	KIR3DL1	1	15	0.000165288517808721	0.0480204835907265	0.341045923810401	0.00109440836594569	0.00176479927868686	tcga	48
189	PTH2	1	15	0.000165288517808721	0.0480204835907265	0.341045923810401	0.00109440836594569	0.00176479927868686	sarek	48
190	SETD1B	1	15	0.000165288517808721	0.0480204835907265	0.341045923810401	0.00109440836594569	0.00176479927868686	tcga	48
191	SRRM2	1	15	0.000165288517808721	0.0480204835907265	0.341045923810401	0.00109440836594569	0.00176479927868686	sarek	48
192	TBL1X	1	15	0.000165288517808721	0.0480204835907265	0.341045923810401	0.00109440836594569	0.00176479927868686	tcga	48
193	RAI1	2	17	0.000183437228288277	0.0811943843344128	0.380091768036684	0.00851016267174962	0.00194842651808791	sarek	48
194	MUC5B	5	22	0.000201088285991118	0.140423751006133	0.440552771243326	0.0369208827316372	0.00211976110509988	tcga	48
195	MUC16	14	33	0.00020163581243633	0.190864131306284	0.485391251396041	0.0711788698171281	0.00211976110509988	sarek	48
196	BAGE2	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	tcga	48
197	CUL9	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	sarek	48
198	DDX54	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	tcga	48
199	DNER	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	sarek	48
200	EEF2KMT	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	tcga	48
201	FAM155A	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	sarek	48
202	KIAA1109	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	tcga	48
203	LCE1F	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	sarek	48
204	MAP1B	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	tcga	48
205	PCDHB2	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	sarek	48
206	POTEJ	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	tcga	48
207	SMARCC2	0	12	0.000223057564878947	0	0.296565626510907	0	0.00220902419324561	sarek	48
208	ANK2	4	20	0.000281574169071694	0.130061787357053	0.443304822964608	0.0292406486694572	0.00274870022189035	tcga	48
209	PKHD1L1	4	20	0.000281574169071694	0.130061787357053	0.443304822964608	0.0292406486694572	0.00274870022189035	sarek	48
210	RYR3	4	20	0.000281574169071694	0.130061787357053	0.443304822964608	0.0292406486694572	0.00274870022189035	tcga	48
211	AJAP1	1	14	0.000370670152627224	0.0529590156793888	0.379374518234451	0.00120226473396292	0.00348565969213674	sarek	48
212	AMOT	1	14	0.000370670152627224	0.0529590156793888	0.379374518234451	0.00120226473396292	0.00348565969213674	tcga	48
213	ANK3	1	14	0.000370670152627224	0.0529590156793888	0.379374518234451	0.00120226473396292	0.00348565969213674	sarek	48
214	ASXL2	1	14	0.000370670152627224	0.0529590156793888	0.379374518234451	0.00120226473396292	0.00348565969213674	tcga	48
215	CUL4B	1	14	0.000370670152627224	0.0529590156793888	0.379374518234451	0.00120226473396292	0.00348565969213674	sarek	48
216	JCAD	1	14	0.000370670152627224	0.0529590156793888	0.379374518234451	0.00120226473396292	0.00348565969213674	tcga	48
217	KHDC4	1	14	0.000370670152627224	0.0529590156793888	0.379374518234451	0.00120226473396292	0.00348565969213674	sarek	48
218	WRN	1	14	0.000370670152627224	0.0529590156793888	0.379374518234451	0.00120226473396292	0.00348565969213674	tcga	48
219	FAT3	2	16	0.00040276861572291	0.0890108327032659	0.419261004487839	0.00929755391563965	0.00371925973978362	sarek	48
220	GIGYF2	2	16	0.00040276861572291	0.0890108327032659	0.419261004487839	0.00929755391563965	0.00371925973978362	tcga	48
221	HECTD4	2	16	0.00040276861572291	0.0890108327032659	0.419261004487839	0.00929755391563965	0.00371925973978362	sarek	48
222	KIR2DL4	2	16	0.00040276861572291	0.0890108327032659	0.419261004487839	0.00929755391563965	0.00371925973978362	tcga	48
223	AGAP4	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
224	AQP10	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
225	BRD7	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
226	CYP2D7	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
227	DND1	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
228	FAM8A1	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
229	FRG2B	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
230	GAGE1	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
231	GPC3	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
232	HLA-C	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
233	HOXA1	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
234	IGHV3-48	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
235	IPO9	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
236	IRX4	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
237	KRT10	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
238	KRTAP10-6	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
239	MEPCE	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
240	NBPF15	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
241	NCOR2	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
242	NOS2	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
243	PGM5	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
244	POLR3GL	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
245	PRAMEF15	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	sarek	48
246	PRSS3P1	0	11	0.000512429540938121	0	0.33645455121128	0	0.00415209707084248	tcga	48
